step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
0,TRANSFER,4521.49,982,79229.07,74707.58,23,99168.24,103689.73,0,-1
0,TRANSFER,1737.92,1107,54897.73,53159.81,104,80478.67,82216.59,0,-1
0,TRANSFER,5078.78,659,64109.98,59031.19,107,99235.77,104314.56,0,-1
0,TRANSFER,9396.15,620,85630.0,76233.84,10,92168.75,101564.91,0,-1
0,TRANSFER,5647.71,504,59028.73,53381.01,103,86399.92,92047.63,0,-1
0,TRANSFER,2347.57,951,61292.26,58944.69,26,55712.14,58059.71,0,-1
0,TRANSFER,7406.64,1372,63507.37,56100.72,1070,63965.1,71371.74,0,-1
0,TRANSFER,1047.6,1372,56100.72,55053.12,20,72409.24,73456.84,0,-1
0,TRANSFER,2039.93,1314,61689.28,59649.35,41,97577.92,99617.85,0,-1
0,TRANSFER,1895.52,403,71394.77,69499.25,755,55226.62,57122.14,0,-1
0,TRANSFER,8367.26,1439,50897.28,42530.01,79,93633.25,102000.53,0,-1
0,TRANSFER,6190.62,973,93027.34,86836.71,71,50369.87,56560.5,0,-1
0,TRANSFER,6359.64,350,77809.97,71450.33,52,63002.92,69362.56,0,-1
0,TRANSFER,4388.82,616,51775.67,47386.84,9,88834.28,93223.11,0,-1
0,TRANSFER,2001.96,277,53247.35,51245.39,452,83632.39,85634.35,0,-1
0,TRANSFER,3396.4,1324,58931.32,55534.91,40,70798.81,74195.21,0,-1
0,TRANSFER,1125.19,1324,55534.91,54409.71,31,70795.7,71920.89,0,-1
0,TRANSFER,9729.48,1324,54409.71,44680.23,40,74195.21,83924.71,0,-1
0,TRANSFER,2399.58,599,86615.78,84216.2,99,97715.52,100115.1,0,-1
0,TRANSFER,1597.03,41,99617.85,98020.82,29,85092.22,86689.26,0,-1
0,TRANSFER,4465.41,41,98020.82,93555.4,29,86689.26,91154.67,0,-1
0,TRANSFER,3696.27,613,69646.97,65950.7,358,76264.85,79961.12,0,-1
0,TRANSFER,5767.17,424,74390.43,68623.26,38,72121.68,77888.85,1,2
0,TRANSFER,1205.34,503,97101.13,95895.78,12,73205.68,74411.03,0,-1
0,TRANSFER,272.73,767,72330.75,72058.02,112,55093.1,55365.83,0,-1
0,TRANSFER,8173.24,1426,60236.94,52063.7,549,89154.15,97327.39,0,-1
0,TRANSFER,6093.61,1437,95315.42,89221.8,736,51798.37,57891.99,0,-1
0,TRANSFER,6135.71,1400,87998.54,81862.83,159,92832.85,98968.56,0,-1
0,TRANSFER,7319.15,936,92624.61,85305.46,62,83732.75,91051.9,0,-1
0,TRANSFER,6405.24,936,85305.46,78900.21,69,50567.73,56972.98,0,-1
0,TRANSFER,4188.9,1108,50008.69,45819.79,25,98268.42,102457.32,0,-1
0,TRANSFER,4664.86,1338,84274.84,79609.97,43,98240.77,102905.64,0,-1
0,TRANSFER,9290.36,934,75431.82,66141.46,12,74411.03,83701.39,0,-1
0,TRANSFER,976.97,392,54879.55,53902.58,546,95589.53,96566.51,0,-1
0,TRANSFER,1729.26,1110,87022.22,85292.96,116,75848.96,77578.22,0,-1
0,TRANSFER,6551.58,1337,89492.07,82940.5,47,50687.14,57238.72,0,-1
0,TRANSFER,8765.89,84,59592.94,50827.05,133,77099.82,85865.71,0,-1
0,TRANSFER,2097.84,954,92750.67,90652.82,35,90007.29,92105.14,0,-1
0,TRANSFER,9750.75,891,51613.89,41863.14,365,50412.8,60163.55,0,-1
0,TRANSFER,1782.83,891,41863.14,40080.3,365,60163.55,61946.39,0,-1
0,TRANSFER,415.15,22,94007.32,93592.16,49,89135.93,89551.09,0,-1
0,TRANSFER,7767.14,1385,86929.43,79162.29,1410,57494.17,65261.31,0,-1
0,TRANSFER,8489.48,1039,53639.42,45149.94,37,79124.71,87614.2,0,-1
0,TRANSFER,8140.96,114,98439.4,90298.44,8,98752.43,106893.39,0,-1
0,TRANSFER,9743.52,114,90298.44,80554.92,8,106893.39,116636.92,0,-1
0,TRANSFER,5176.05,942,76945.54,71769.49,7,97479.13,102655.18,0,-1
0,TRANSFER,7810.89,1307,89411.07,81600.17,68,81377.42,89188.32,0,-1
0,TRANSFER,2066.56,1311,94987.31,92920.75,27,73519.92,75586.49,0,-1
0,TRANSFER,7404.82,945,65666.21,58261.39,21,93546.53,100951.36,0,-1
0,TRANSFER,5446.95,496,61323.03,55876.08,1248,52473.05,57920.0,0,-1
0,TRANSFER,3618.92,1139,57771.98,54153.05,119,55831.51,59450.43,0,-1
0,TRANSFER,6057.81,943,62916.51,56858.69,240,97253.5,103311.32,0,-1
0,TRANSFER,8241.97,1365,73826.24,65584.26,547,82563.71,90805.69,0,-1
0,TRANSFER,8366.06,1378,73453.54,65087.48,31,71920.89,80286.96,0,-1
0,TRANSFER,632.01,1369,63326.71,62694.7,173,88458.52,89090.53,0,-1
0,TRANSFER,421.87,777,55261.3,54839.43,76,53369.67,53791.55,0,-1
0,TRANSFER,9782.29,615,84299.0,74516.71,69,56972.98,66755.26,0,-1
0,TRANSFER,7011.42,1424,80904.15,73892.72,745,66747.25,73758.67,0,-1
0,TRANSFER,4302.74,1099,84665.85,80363.11,17,93010.15,97312.89,0,-1
0,TRANSFER,1610.67,1187,68477.04,66866.37,78,95387.75,96998.42,0,-1
0,TRANSFER,4890.23,603,87187.82,82297.58,26,58059.71,62949.95,0,-1
0,TRANSFER,4516.41,74,85691.6,81175.19,292,87244.17,91760.59,0,-1
0,TRANSFER,8577.36,74,81175.19,72597.82,292,91760.59,100337.96,0,-1
0,TRANSFER,9373.52,1122,59537.83,50164.32,20,73456.84,82830.36,0,-1
0,TRANSFER,3374.99,64,50082.14,46707.14,48,86651.57,90026.56,0,-1
0,TRANSFER,3960.02,113,90438.79,86478.77,133,85865.71,89825.74,0,-1
0,TRANSFER,6774.92,876,93104.25,86329.33,27,75586.49,82361.41,0,-1
0,TRANSFER,6348.5,604,54625.08,48276.58,29,91154.67,97503.18,0,-1
0,TRANSFER,6508.66,23,103689.73,97181.07,1329,70651.7,77160.36,0,-1
0,TRANSFER,9843.37,1389,69151.09,59307.71,146,62202.48,72045.85,0,-1
0,TRANSFER,1922.74,498,88239.03,86316.29,10,101564.91,103487.65,0,-1
0,TRANSFER,5906.83,622,93232.93,87326.1,118,58317.14,64223.98,0,-1
0,TRANSFER,9744.49,1152,85286.97,75542.47,20,82830.36,92574.86,0,-1
0,TRANSFER,1454.22,1121,50859.57,49405.35,140,52331.19,53785.41,0,-1
0,TRANSFER,2832.37,999,98859.71,96027.34,754,51718.85,54551.23,0,-1
0,TRANSFER,3309.48,61,55069.67,51760.18,72,94290.67,97600.16,0,-1
0,TRANSFER,139.34,869,88451.84,88312.5,32,63029.64,63168.99,0,-1
0,TRANSFER,8374.29,35,92105.14,83730.84,179,89381.53,97755.82,0,-1
0,TRANSFER,8191.71,1118,79436.1,71244.39,45,75736.4,83928.12,0,-1
0,TRANSFER,2160.85,1428,67427.84,65266.98,40,83924.71,86085.56,0,-1
0,TRANSFER,1432.72,794,62774.53,61341.8,1028,64096.12,65528.85,0,-1
0,TRANSFER,201.51,132,69062.07,68860.54,17,97312.89,97514.42,0,-1
0,TRANSFER,2122.92,784,68900.32,66777.4,53,62749.07,64871.99,0,-1
0,TRANSFER,6031.43,397,82124.7,76093.27,38,77888.85,83920.28,0,-1
0,TRANSFER,7807.97,1261,59469.78,51661.81,146,72045.85,79853.83,0,-1
0,TRANSFER,5097.08,614,85973.21,80876.13,66,90804.47,95901.56,0,-1
0,TRANSFER,7178.67,903,88522.07,81343.4,132,68860.54,76039.21,0,-1
0,TRANSFER,9700.13,386,58097.5,48397.35,118,64223.98,73924.11,0,-1
0,TRANSFER,2538.56,928,64595.28,62056.72,39,72442.82,74981.38,0,-1
0,TRANSFER,471.43,781,62765.89,62294.44,169,75194.52,75665.96,0,-1
0,TRANSFER,2663.7,1391,85618.21,82954.5,41,93555.4,96219.11,0,-1
0,TRANSFER,4742.3,1391,82954.5,78212.21,249,51243.05,55985.35,0,-1
0,TRANSFER,961.26,1179,79735.24,78773.97,12,83701.39,84662.66,0,-1
