id,src,dst,ttype
0,0,19,TRANSFER
1,0,211,TRANSFER
2,1,64,TRANSFER
3,1,26,TRANSFER
4,1,164,TRANSFER
5,1,31,TRANSFER
6,1,81,TRANSFER
7,1,11,TRANSFER
8,1,13,TRANSFER
9,1,55,TRANSFER
10,1,174,TRANSFER
11,1,584,TRANSFER
13,2,99,TRANSFER
14,2,17,TRANSFER
15,2,328,TRANSFER
16,2,57,TRANSFER
17,2,34,TRANSFER
19,2,126,TRANSFER
20,2,333,TRANSFER
21,3,275,TRANSFER
22,3,41,TRANSFER
23,3,40,TRANSFER
24,3,62,TRANSFER
25,3,133,TRANSFER
26,3,18,TRANSFER
27,3,946,TRANSFER
28,3,1254,TRANSFER
29,3,70,TRANSFER
30,3,16,TRANSFER
31,3,100,TRANSFER
32,3,30,TRANSFER
33,3,163,TRANSFER
34,3,52,TRANSFER
35,3,61,TRANSFER
36,3,322,TRANSFER
37,3,76,TRANSFER
38,3,144,TRANSFER
39,3,13,TRANSFER
40,3,29,TRANSFER
41,3,103,TRANSFER
42,3,389,TRANSFER
43,3,969,TRANSFER
44,3,19,TRANSFER
45,3,43,TRANSFER
46,3,28,TRANSFER
47,3,238,TRANSFER
48,3,60,TRANSFER
49,3,125,TRANSFER
50,3,102,TRANSFER
51,3,91,TRANSFER
52,3,217,TRANSFER
53,3,1024,TRANSFER
54,3,65,TRANSFER
55,3,530,TRANSFER
56,3,11,TRANSFER
57,3,1367,TRANSFER
58,3,20,TRANSFER
59,3,117,TRANSFER
60,3,357,TRANSFER
61,3,56,TRANSFER
62,3,474,TRANSFER
63,3,15,TRANSFER
64,3,157,TRANSFER
65,4,33,TRANSFER
66,4,27,TRANSFER
67,4,338,TRANSFER
68,4,16,TRANSFER
69,4,7,TRANSFER
70,4,67,TRANSFER
71,4,446,TRANSFER
72,4,714,TRANSFER
73,4,941,TRANSFER
74,4,54,TRANSFER
75,4,23,TRANSFER
76,4,38,TRANSFER
77,4,57,TRANSFER
78,4,336,TRANSFER
79,4,599,TRANSFER
80,4,18,TRANSFER
81,4,968,TRANSFER
82,4,73,TRANSFER
83,4,41,TRANSFER
84,4,1202,TRANSFER
85,4,50,TRANSFER
86,4,26,TRANSFER
87,4,312,TRANSFER
88,4,31,TRANSFER
89,4,90,TRANSFER
90,4,93,TRANSFER
91,4,79,TRANSFER
92,4,40,TRANSFER
93,4,5,TRANSFER
94,4,34,TRANSFER
95,4,15,TRANSFER
96,4,112,TRANSFER
97,4,25,TRANSFER
98,4,21,TRANSFER
99,4,80,TRANSFER
100,4,130,TRANSFER
101,4,224,TRANSFER
102,4,59,TRANSFER
103,4,135,TRANSFER
104,4,14,TRANSFER
105,4,92,TRANSFER
106,4,999,TRANSFER
107,4,113,TRANSFER
108,4,68,TRANSFER
109,4,32,TRANSFER
110,4,35,TRANSFER
111,5,712,TRANSFER
112,5,336,TRANSFER
113,5,33,TRANSFER
114,5,199,TRANSFER
115,5,47,TRANSFER
116,5,1012,TRANSFER
117,5,37,TRANSFER
118,5,258,TRANSFER
119,5,28,TRANSFER
120,5,3,TRANSFER
121,5,181,TRANSFER
122,5,1370,TRANSFER
123,5,16,TRANSFER
124,5,241,TRANSFER
125,5,35,TRANSFER
126,5,543,TRANSFER
127,5,27,TRANSFER
128,5,51,TRANSFER
129,5,42,TRANSFER
130,5,772,TRANSFER
131,5,36,TRANSFER
132,5,63,TRANSFER
133,5,208,TRANSFER
134,5,164,TRANSFER
135,5,78,TRANSFER
136,5,458,TRANSFER
137,5,323,TRANSFER
138,5,24,TRANSFER
139,5,26,TRANSFER
140,5,1248,TRANSFER
141,5,370,TRANSFER
142,5,169,TRANSFER
143,5,53,TRANSFER
144,5,101,TRANSFER
145,5,64,TRANSFER
146,5,777,TRANSFER
147,5,19,TRANSFER
148,5,34,TRANSFER
149,5,714,TRANSFER
150,5,23,TRANSFER
151,5,996,TRANSFER
152,5,20,TRANSFER
153,5,314,TRANSFER
154,6,33,TRANSFER
155,6,37,TRANSFER
156,6,51,TRANSFER
157,6,30,TRANSFER
158,6,243,TRANSFER
159,6,36,TRANSFER
160,6,44,TRANSFER
161,6,35,TRANSFER
162,6,19,TRANSFER
163,6,171,TRANSFER
164,6,22,TRANSFER
165,6,50,TRANSFER
166,6,87,TRANSFER
167,6,17,TRANSFER
168,6,473,TRANSFER
169,6,129,TRANSFER
170,6,115,TRANSFER
171,6,34,TRANSFER
172,6,145,TRANSFER
173,6,1228,TRANSFER
174,6,573,TRANSFER
175,6,326,TRANSFER
176,6,73,TRANSFER
177,6,1260,TRANSFER
178,6,15,TRANSFER
179,6,23,TRANSFER
180,6,12,TRANSFER
181,6,54,TRANSFER
182,6,385,TRANSFER
183,6,43,TRANSFER
184,6,332,TRANSFER
185,6,26,TRANSFER
186,6,1176,TRANSFER
187,6,113,TRANSFER
188,6,636,TRANSFER
189,6,24,TRANSFER
190,6,333,TRANSFER
191,6,160,TRANSFER
192,6,287,TRANSFER
193,6,130,TRANSFER
194,6,27,TRANSFER
195,6,1231,TRANSFER
196,6,70,TRANSFER
197,6,7,TRANSFER
198,6,18,TRANSFER
199,6,321,TRANSFER
200,6,330,TRANSFER
201,6,1022,TRANSFER
202,6,16,TRANSFER
203,6,81,TRANSFER
204,6,235,TRANSFER
205,6,41,TRANSFER
206,6,313,TRANSFER
207,6,178,TRANSFER
208,6,13,TRANSFER
209,6,374,TRANSFER
210,6,25,TRANSFER
211,6,251,TRANSFER
212,6,14,TRANSFER
213,6,28,TRANSFER
214,6,206,TRANSFER
215,7,4,TRANSFER
216,7,34,TRANSFER
217,7,6,TRANSFER
218,7,20,TRANSFER
219,7,39,TRANSFER
220,7,38,TRANSFER
221,7,11,TRANSFER
222,7,27,TRANSFER
223,7,10,TRANSFER
224,7,102,TRANSFER
225,7,60,TRANSFER
226,7,17,TRANSFER
227,7,36,TRANSFER
228,7,12,TRANSFER
229,7,155,TRANSFER
230,7,24,TRANSFER
231,7,15,TRANSFER
232,7,301,TRANSFER
233,7,49,TRANSFER
234,7,67,TRANSFER
235,7,175,TRANSFER
236,7,51,TRANSFER
237,7,726,TRANSFER
238,7,459,TRANSFER
239,7,174,TRANSFER
240,7,14,TRANSFER
241,7,69,TRANSFER
242,7,45,TRANSFER
243,7,1040,TRANSFER
244,7,734,TRANSFER
245,7,37,TRANSFER
246,7,703,TRANSFER
247,7,47,TRANSFER
248,7,344,TRANSFER
249,7,18,TRANSFER
250,7,120,TRANSFER
251,7,22,TRANSFER
252,7,713,TRANSFER
253,7,252,TRANSFER
254,7,13,TRANSFER
255,7,227,TRANSFER
256,7,286,TRANSFER
257,7,64,TRANSFER
258,7,19,TRANSFER
259,7,737,TRANSFER
260,7,62,TRANSFER
261,7,44,TRANSFER
262,7,134,TRANSFER
263,7,1259,TRANSFER
264,7,50,TRANSFER
265,7,121,TRANSFER
266,7,401,TRANSFER
267,7,42,TRANSFER
268,7,342,TRANSFER
269,7,632,TRANSFER
270,7,100,TRANSFER
271,7,28,TRANSFER
272,7,220,TRANSFER
273,7,53,TRANSFER
274,7,23,TRANSFER
275,7,25,TRANSFER
276,7,31,TRANSFER
277,7,146,TRANSFER
278,7,1174,TRANSFER
